test/reward_model_bad_vs_random_mean,test/reward_model_good_vs_random_mean,step,arch
88.90499877929688,51.93199920654297,0,rnn
89.2750015258789,52.01599884033203,16000,rnn
89.30999755859375,51.71099853515625,32000,rnn
89.71800231933594,51.65599822998047,48000,rnn
90.0479965209961,52.29199981689453,64000,rnn
89.19599914550781,51.6510009765625,80000,rnn
88.89199829101562,51.90599822998047,96000,rnn
89.26599884033203,51.71099853515625,112000,rnn
89.48600006103516,52.415000915527344,128000,rnn
89.44400024414062,52.23099899291992,144000,rnn
89.4469985961914,52.055999755859375,160000,rnn
89.56800079345703,52.43299865722656,176000,rnn
88.93000030517578,52.48400115966797,192000,rnn
88.94200134277344,52.48400115966797,208000,rnn
89.21800231933594,52.86800003051758,224000,rnn
89.15299987792969,52.63800048828125,240000,rnn
88.89600372314453,52.93600082397461,256000,rnn
89.34500122070312,51.90599822998047,272000,rnn
88.62999725341797,52.3120002746582,288000,rnn
89.1050033569336,51.97200012207031,304000,rnn
88.74500274658203,51.42399978637695,320000,rnn
88.697998046875,51.486000061035156,336000,rnn
88.55999755859375,51.83000183105469,352000,rnn
88.6510009765625,51.430999755859375,368000,rnn
88.88500213623047,51.84700012207031,384000,rnn
88.78299713134766,52.1609992980957,400000,rnn
88.87899780273438,51.7869987487793,416000,rnn
89.41200256347656,51.70100021362305,432000,rnn
89.62899780273438,51.85599899291992,448000,rnn
89.23600006103516,52.42900085449219,464000,rnn
88.70800018310547,51.93299865722656,480000,rnn
88.6510009765625,51.89099884033203,496000,rnn
88.84300231933594,51.62300109863281,512000,rnn
89.27999877929688,51.8120002746582,528000,rnn
89.33399963378906,51.85200119018555,544000,rnn
89.26799774169922,51.78200149536133,560000,rnn
89.27100372314453,52.11000061035156,576000,rnn
89.69200134277344,52.23500061035156,592000,rnn
89.56199645996094,51.84199905395508,608000,rnn
89.76000213623047,52.0260009765625,624000,rnn
90.18699645996094,51.82699966430664,640000,rnn
89.77300262451172,51.72700119018555,656000,rnn
89.5979995727539,52.16400146484375,672000,rnn
89.85199737548828,51.7599983215332,688000,rnn
90.052001953125,51.415000915527344,704000,rnn
89.82499694824219,51.87699890136719,720000,rnn
89.68099975585938,51.757999420166016,736000,rnn
90.00299835205078,52.5369987487793,752000,rnn
89.55599975585938,52.52299880981445,768000,rnn
89.48300170898438,52.375,784000,rnn
89.09600067138672,52.069000244140625,800000,rnn
89.0719985961914,51.84299850463867,816000,rnn
89.2760009765625,51.94900131225586,832000,rnn
89.25499725341797,51.43199920654297,848000,rnn
88.74600219726562,51.80799865722656,864000,rnn
89.2750015258789,52.007999420166016,880000,rnn
89.48400115966797,52.125999450683594,896000,rnn
89.80799865722656,52.02199935913086,912000,rnn
89.16100311279297,51.83599853515625,928000,rnn
89.16600036621094,51.96799850463867,944000,rnn
88.90499877929688,51.707000732421875,960000,rnn
89.35600280761719,51.736000061035156,976000,rnn
89.48799896240234,51.49800109863281,992000,rnn
89.36699676513672,51.694000244140625,1008000,rnn
89.05599975585938,51.89400100708008,1024000,rnn
89.76899719238281,51.790000915527344,1040000,rnn
89.6500015258789,52.053001403808594,1056000,rnn
89.75,52.80400085449219,1072000,rnn
89.40899658203125,52.28799819946289,1088000,rnn
89.0719985961914,52.47100067138672,1104000,rnn
88.87300109863281,52.02399826049805,1120000,rnn
88.79000091552734,52.382999420166016,1136000,rnn
88.71199798583984,52.0260009765625,1152000,rnn
88.64800262451172,52.375,1168000,rnn
88.6449966430664,52.18299865722656,1184000,rnn
88.75399780273438,51.87099838256836,1200000,rnn
89.34600067138672,52.02399826049805,1216000,rnn
89.09100341796875,52.513999938964844,1232000,rnn
89.20800018310547,52.8489990234375,1248000,rnn
89.28399658203125,52.902000427246094,1264000,rnn
88.74400329589844,52.76300048828125,1280000,rnn
88.9729995727539,52.7239990234375,1296000,rnn
89.43000030517578,52.915000915527344,1312000,rnn
89.58699798583984,52.54600143432617,1328000,rnn
89.11000061035156,52.821998596191406,1344000,rnn
88.93800354003906,52.93299865722656,1360000,rnn
89.50399780273438,52.25400161743164,1376000,rnn
89.28900146484375,52.858001708984375,1392000,rnn
89.30400085449219,52.83100128173828,1408000,rnn
88.93499755859375,52.652000427246094,1424000,rnn
88.94000244140625,51.74399948120117,1440000,rnn
89.25800323486328,52.01100158691406,1456000,rnn
89.03900146484375,52.178001403808594,1472000,rnn
89.05699920654297,52.22600173950195,1488000,rnn
89.11100006103516,52.22200012207031,1504000,rnn
89.19000244140625,52.41400146484375,1520000,rnn
89.35099792480469,52.26100158691406,1536000,rnn
89.46900177001953,52.02899932861328,1552000,rnn
89.43399810791016,51.89400100708008,1568000,rnn
89.51200103759766,51.757999420166016,1584000,rnn
89.61599731445312,52.07400131225586,1600000,rnn
89.63899993896484,52.30799865722656,1616000,rnn
89.74800109863281,51.810001373291016,1632000,rnn
89.74199676513672,52.152000427246094,1648000,rnn
89.59500122070312,51.959999084472656,1664000,rnn
89.47200012207031,52.172000885009766,1680000,rnn
89.56999969482422,52.16999816894531,1696000,rnn
89.38200378417969,52.1150016784668,1712000,rnn
89.72100067138672,52.39699935913086,1728000,rnn
89.72200012207031,52.2859992980957,1744000,rnn
89.78700256347656,52.150001525878906,1760000,rnn
89.76699829101562,51.48899841308594,1776000,rnn
89.802001953125,51.70800018310547,1792000,rnn
89.55400085449219,51.874000549316406,1808000,rnn
89.5,52.08100128173828,1824000,rnn
89.28099822998047,51.926998138427734,1840000,rnn
89.3759994506836,52.145999908447266,1856000,rnn
89.44499969482422,52.20600128173828,1872000,rnn
89.48300170898438,52.097999572753906,1888000,rnn
89.54900360107422,51.946998596191406,1904000,rnn
89.65799713134766,51.93600082397461,1920000,rnn
89.66400146484375,51.858001708984375,1936000,rnn
89.5469970703125,51.99700164794922,1952000,rnn
89.48600006103516,51.869998931884766,1968000,rnn
89.54199981689453,51.862998962402344,1984000,rnn
89.5,51.78099822998047,2000000,rnn
